respondent_id,age,sex,education,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,sought_support
R020,52,M,Some college,1,2,4,2,5,1,1,4,1,1,4,2,1,1,2,2,4,1,1,2,1,1,5,1,2,2,3,1,5,2,1,3,8,4,1,1,1,4,1,3,0
R021,40,M,Graduate,1,1,3,2,9,2,3,2,2,2,2,2,4,9,1,1,5,2,2,1,2,8,3,2,3,3,3,3,3,2,2,3,4,4,2,4,2,3,1,3,0
R022,80,F,Some college,2,3,3,2,3,2,,2,1,2,4,1,3,2,1,3,5,1,2,1,1,2,3,2,2,1,1,2,5,4,4,4,2,4,1,1,1,4,3,5,0
R023,40,F,Some college,3,3,3,3,3,4,3,3,7,5,2,3,3,2,3,3,2,2,5,4,5,4,1,3,4,2,4,5,3,3,4,3,1,2,5,4,5,3,3,2,1
R024,74,M,Bachelors,2,5,2,2,4,3,4,4,3,2,3,3,1,3,2,3,5,4,3,3,2,2,2,1,2,3,1,1,3,1,4,3,3,4,2,4,1,4,2,3,0
R025,41,F,Some college,4,3,4,4,3,3,3,5,3,3,3,4,3,4,4,2,2,2,,3,2,5,2,5,4,5,3,3,4,3,2,4,3,3,4,4,3,1,3,4,1
R026,72,F,Some college,3,4,4,1,2,4,4,3,7,4,1,3,2,3,2,3,1,5,3,4,5,5,3,4,5,4,2,4,1,4,3,3,4,1,3,3,5,1,4,3,1
R027,42,F,Some college,4,4,4,2,4,2,2,1,2,2,5,4,2,3,3,3,5,3,3,2,2,3,5,3,1,3,2,3,5,4,5,3,2,4,1,3,2,3,2,5,0
R028,81,M,High school,3,4,5,4,2,4,5,5,4,5,2,5,5,4,5,5,1,4,5,3,4,4,3,5,4,3,4,4,1,4,4,4,5,3,4,5,3,1,4,2,1
R029,57,F,Bachelors,4,4,4,3,2,2,5,3,4,2,2,3,4,3,2,4,3,5,2,4,4,3,5,3,4,3,1,3,2,2,4,4,4,4,3,3,3,3,4,3,0
R030,67,F,Some college,2,2,2,3,5,1,2,1,7,1,3,2,2,1,2,1,5,2,2,1,1,2,3,3,2,1,2,3,4,2,1,2,2,5,1,3,2,3,3,4,1
R031,33,M,Some college,5,2,4,3,2,5,4,2,5,4,3,3,4,3,3,2,3,2,4,3,4,4,2,3,4,2,5,3,4,3,2,3,3,2,2,4,3,3,3,3,1
R032,60,F,High school,3,1,3,5,5,1,4,2,3,4,3,3,2,9,2,4,2,4,,2,3,2,4,1,3,1,2,2,4,2,3,1,3,3,2,3,5,4,5,5,0
R033,19,M,Some college,3,2,4,4,2,2,4,2,7,3,4,4,4,2,2,4,2,5,5,2,5,5,1,4,4,4,2,2,2,4,1,3,4,1,3,5,4,2,3,3,0
R034,54,F,Some college,2,1,3,3,5,1,2,2,2,2,5,1,1,3,2,3,5,2,1,3,1,1,5,1,2,1,1,2,2,2,2,1,3,5,2,1,1,5,1,5,0
R035,63,M,High school,4,4,3,5,1,4,4,3,3,5,3,5,4,5,5,4,1,2,4,5,5,5,1,5,3,3,3,3,1,3,5,4,5,2,4,3,4,2,5,2,1
R036,40,F,High school,4,4,1,1,9,2,2,2,4,3,3,3,2,9,2,4,3,1,1,3,3,4,2,3,4,3,3,3,3,4,4,2,3,2,3,3,4,4,2,3,1
R037,72,F,Some college,1,1,3,4,4,1,1,2,4,3,3,3,3,4,3,2,2,3,4,3,3,2,4,3,2,3,3,3,4,3,3,1,3,3,2,3,4,4,3,2,0
R038,81,F,Some college,5,4,4,5,1,3,5,3,5,4,3,4,4,5,3,4,3,5,4,4,3,3,1,4,2,3,5,4,3,3,5,5,3,3,2,2,5,3,5,1,1
R039,32,M,Bachelors,4,2,3,2,9,4,4,1,3,3,5,2,1,4,3,4,4,2,3,3,2,3,5,1,1,1,2,2,3,2,3,3,2,5,3,3,2,3,3,4,0
R040,25,M,High school,4,3,3,3,5,3,5,3,3,1,3,3,1,1,3,3,3,4,2,1,3,2,3,3,3,2,4,2,3,4,3,1,2,3,3,2,4,4,4,1,0
R041,50,F,Bachelors,4,4,3,5,2,5,2,2,5,2,1,5,5,4,4,4,2,4,4,5,5,5,2,5,4,3,5,3,3,5,5,3,3,2,4,4,4,1,4,2,1
R042,22,M,Some college,1,2,1,3,4,5,4,4,5,4,2,4,3,1,2,4,1,1,4,3,4,3,4,3,4,5,3,4,3,3,1,4,3,3,3,3,3,3,4,3,0
R043,24,M,Some college,1,1,1,2,4,3,1,3,3,3,2,3,4,3,4,1,3,2,5,2,2,1,3,3,2,3,3,4,1,3,4,5,1,4,2,2,3,4,4,4,0
R044,81,M,Graduate,3,2,2,2,3,1,1,2,4,2,5,3,3,9,2,2,4,1,3,3,3,1,3,1,2,2,3,1,2,2,2,2,4,2,3,1,2,5,1,3,0
R045,19,M,Bachelors,2,2,3,1,4,4,3,4,4,4,4,1,1,4,2,3,3,3,2,2,1,3,3,2,3,2,2,2,3,4,4,4,1,5,2,4,3,3,3,4,1
R046,66,F,Graduate,3,2,4,2,3,1,4,1,2,4,5,2,2,2,2,1,4,4,2,3,2,3,5,1,1,4,4,2,1,3,3,4,4,3,4,2,3,4,2,4,0
R047,19,M,Graduate,4,2,3,4,1,5,5,5,4,4,4,4,3,4,3,3,2,4,3,5,5,5,1,5,4,5,3,5,2,4,4,2,5,2,3,5,3,4,3,1,1
R048,70,M,Bachelors,4,3,2,2,3,3,3,4,3,3,1,1,3,9,3,4,3,2,3,3,3,2,2,4,5,3,3,3,4,3,1,4,4,2,3,2,5,4,4,4,1
R049,49,F,Graduate,4,3,3,3,1,4,3,5,2,4,3,3,3,2,4,4,1,4,2,4,3,8,2,3,3,4,3,3,2,3,4,4,5,2,3,2,5,2,5,2,1
R050,42,F,Bachelors,3,4,5,3,1,4,5,3,3,5,3,5,5,4,4,4,3,4,5,5,4,4,1,5,1,5,5,3,3,5,5,4,4,1,4,5,3,1,5,2,1
R051,29,F,Graduate,3,4,3,2,2,2,5,3,5,3,3,4,3,3,4,3,3,4,5,3,3,3,2,4,4,4,3,2,5,5,2,2,2,3,5,3,4,3,4,3,0
R052,66,F,Graduate,3,2,4,5,3,2,2,1,3,3,2,3,3,4,5,1,3,2,3,3,3,1,3,1,1,5,3,2,1,2,3,3,3,2,3,5,2,3,3,3,1
R053,45,F,Graduate,4,1,4,4,5,4,3,2,3,3,4,3,2,1,2,4,5,1,2,3,3,3,5,2,4,2,3,2,3,2,3,3,2,5,2,3,3,4,2,5,0
R054,76,M,Bachelors,3,3,1,2,2,2,2,3,2,3,4,4,4,9,3,3,4,4,2,3,3,1,2,4,2,2,3,2,3,3,2,4,4,2,1,2,2,4,2,2,0
R055,62,M,Some college,2,3,5,4,1,5,4,5,5,5,3,5,5,4,4,2,3,5,3,4,5,2,1,4,5,3,4,5,3,5,5,4,3,3,3,5,3,1,4,1,1
R056,74,F,Graduate,2,5,2,2,4,3,2,2,3,3,3,3,2,4,3,2,4,3,4,3,2,3,5,2,2,3,2,3,2,5,4,1,4,4,3,3,2,4,2,4,1
R057,44,M,Graduate,2,2,3,1,5,2,2,2,2,1,5,2,3,1,2,5,2,2,2,1,3,3,5,3,3,3,1,1,5,4,3,2,8,5,4,2,4,3,3,2,0
R058,38,F,High school,5,5,2,5,1,5,5,5,4,5,1,5,4,4,4,5,1,3,,3,5,4,1,4,3,5,4,4,4,4,5,4,4,1,5,5,4,1,5,2,1
R059,61,F,High school,5,2,4,5,9,3,4,3,4,4,4,5,5,4,3,4,2,5,1,5,5,3,3,4,3,4,4,4,3,4,5,2,3,3,3,3,2,2,5,3,0
R060,54,M,Some college,2,3,2,3,1,3,4,2,1,2,4,4,2,2,4,1,5,4,2,1,3,3,3,3,2,1,2,2,1,3,5,3,2,2,4,2,2,5,3,2,0
R061,78,M,Some college,2,3,5,3,2,4,5,4,4,3,4,5,3,5,1,4,2,3,4,4,4,3,2,2,3,5,5,4,1,3,1,3,5,2,4,4,1,3,4,4,1
R062,24,M,High school,4,1,3,2,4,3,3,3,1,2,3,2,3,2,2,3,4,3,1,2,5,3,3,2,3,3,3,3,1,1,3,2,3,5,3,2,3,3,4,4,1
R063,81,F,High school,2,2,3,3,4,1,3,4,2,2,3,4,3,4,2,4,4,1,4,2,1,2,3,2,3,3,2,4,3,2,3,3,4,4,4,2,4,5,3,4,0
R064,79,M,Graduate,5,5,4,5,3,5,4,5,5,5,2,5,5,4,5,3,1,4,4,5,5,5,3,5,4,4,5,4,5,5,3,4,4,1,5,5,4,2,5,2,1
R065,49,M,Graduate,5,2,3,3,2,4,5,4,2,4,1,5,3,4,4,2,2,4,3,4,3,4,1,5,5,4,3,5,2,3,,4,4,4,3,4,5,2,4,3,1
R066,65,M,Some college,5,5,5,4,2,5,5,5,5,3,1,5,5,9,4,5,1,5,5,5,4,5,1,5,4,5,5,5,2,3,5,5,5,1,5,5,5,1,5,1,1
R067,30,M,Bachelors,1,5,4,4,2,3,4,3,5,4,3,5,4,3,3,5,1,5,4,3,3,3,2,4,3,3,4,5,5,2,5,4,4,1,3,2,5,2,5,2,1
R068,76,M,Graduate,4,1,3,4,2,4,3,4,3,4,2,3,5,9,5,5,2,4,,4,5,3,2,5,4,4,5,3,1,5,3,4,4,2,4,5,2,2,3,1,1
R069,51,M,High school,4,2,3,1,2,3,2,2,3,2,5,1,3,4,4,4,3,2,4,4,2,8,5,2,1,3,2,1,5,1,3,2,4,4,5,3,3,4,1,5,0
R070,31,M,Some college,1,2,3,4,5,1,3,3,2,4,5,1,1,3,1,4,3,1,1,3,3,8,4,3,3,2,1,2,3,1,2,3,3,5,1,4,2,4,1,5,0
R071,35,F,High school,3,2,4,3,2,4,3,3,3,3,4,5,4,9,2,5,3,2,4,5,4,3,2,4,4,4,3,2,3,5,2,3,4,2,2,3,5,4,3,3,1
R072,79,M,Bachelors,3,4,2,2,2,3,3,3,5,5,2,2,3,9,3,1,2,5,4,2,4,3,2,3,5,4,3,5,2,4,5,4,3,5,4,4,4,3,5,1,1
R073,74,F,Graduate,1,3,1,2,5,3,2,2,1,1,5,1,2,1,2,1,5,3,1,1,2,3,5,2,1,1,3,2,3,3,,1,1,4,1,2,2,4,2,3,0
R074,69,M,Bachelors,2,3,4,4,4,1,,1,1,1,4,3,1,2,1,3,3,3,2,4,1,2,3,2,3,1,3,1,4,1,3,2,4,3,4,1,1,3,2,4,0
R075,69,M,Bachelors,1,1,5,4,4,3,3,1,4,2,2,4,3,5,3,3,3,2,2,4,3,8,3,3,3,4,3,5,3,3,3,4,2,3,5,3,2,2,3,2,0
R076,69,M,High school,4,2,2,1,3,2,3,4,2,2,3,2,1,2,2,2,5,2,2,4,4,1,5,1,4,3,3,2,4,1,1,3,1,4,3,3,4,4,3,2,0
R077,79,F,Some college,5,1,3,2,9,1,1,1,1,1,5,2,1,2,4,1,5,1,1,1,2,1,4,1,3,2,2,1,5,2,2,2,1,4,1,2,4,5,2,4,0
R078,22,M,Graduate,1,4,3,4,1,3,4,4,4,4,4,2,4,3,1,3,3,5,3,3,5,4,4,4,1,4,4,4,4,3,4,4,5,4,4,1,3,4,4,4,1
R079,80,F,Some college,1,2,5,1,4,3,2,1,2,2,2,3,2,5,3,4,4,3,3,1,4,2,3,2,3,5,4,2,4,2,1,2,5,4,4,2,2,5,3,5,0
R080,56,M,Bachelors,1,3,2,2,4,1,3,3,2,2,3,1,2,2,2,2,4,1,2,2,2,2,3,3,2,2,2,1,4,2,1,2,3,4,5,4,2,5,1,5,0
R081,24,M,Bachelors,2,3,2,3,3,4,3,2,3,1,5,1,2,3,1,4,3,1,3,3,2,3,3,5,2,2,2,3,4,2,2,2,1,3,2,2,1,5,2,3,1
R082,59,F,Bachelors,2,3,3,3,2,5,5,5,3,5,4,3,2,3,3,3,3,4,2,2,3,3,3,1,2,4,3,5,2,2,4,4,1,3,1,3,3,3,4,3,0
R083,31,M,Bachelors,3,1,1,2,5,1,2,2,1,1,5,1,2,3,1,2,5,1,4,1,1,1,5,1,1,1,2,1,4,2,2,1,1,4,2,2,4,5,2,5,0
R084,65,F,Bachelors,3,2,2,1,4,4,2,3,3,2,4,3,4,9,4,2,4,3,,4,2,4,3,3,2,2,1,4,3,4,5,3,1,3,2,1,1,4,1,5,0
R085,18,M,Graduate,2,1,3,3,3,3,2,3,2,3,2,3,4,1,1,5,3,3,3,3,2,1,4,2,4,1,3,2,4,1,1,2,3,3,4,3,4,4,3,4,0
R086,41,M,Bachelors,4,5,1,4,2,3,4,4,4,4,1,4,5,3,4,2,1,4,5,3,3,3,1,4,2,5,5,5,1,5,5,5,3,2,3,4,4,3,2,4,1
R087,39,F,Some college,4,5,2,4,2,3,4,1,5,4,5,5,4,3,2,3,4,3,5,5,5,4,1,5,5,3,3,5,4,3,4,5,8,3,3,1,2,1,3,4,1
R088,81,F,Graduate,5,2,4,5,3,5,,2,4,5,1,5,3,4,5,4,1,3,4,4,4,8,1,2,5,5,4,5,3,5,4,3,5,2,4,3,3,1,5,2,1
R089,68,F,High school,1,3,4,3,4,1,2,2,3,3,5,2,1,2,3,3,5,1,3,4,2,2,3,3,3,1,3,1,2,3,2,5,2,4,1,2,2,3,3,4,0
R090,59,M,Bachelors,4,5,4,3,9,5,4,4,5,4,1,4,4,5,4,4,2,5,4,2,3,4,2,3,4,2,5,4,2,4,5,4,1,1,3,3,4,2,3,2,1
R091,28,F,Graduate,4,4,3,3,2,3,3,5,1,5,3,3,2,2,2,2,2,3,5,3,4,3,2,4,3,3,4,3,2,2,4,5,3,3,3,1,2,1,4,3,0
R092,70,F,Bachelors,3,4,3,5,3,4,4,2,4,2,4,3,1,4,4,3,4,2,3,4,3,4,2,1,3,4,2,4,2,4,4,1,4,3,3,2,3,2,3,3,1
R093,66,M,High school,5,3,1,4,3,5,4,5,4,5,1,4,3,5,4,4,1,5,5,5,5,5,2,4,4,5,3,3,3,3,4,3,3,1,4,3,5,2,4,1,1
R094,26,F,Some college,3,5,4,3,2,4,2,4,5,5,1,3,4,2,4,3,3,5,5,4,4,4,2,5,4,4,5,3,4,5,3,2,2,2,4,4,3,2,5,3,0
R095,27,M,Graduate,2,2,1,5,5,4,4,3,3,2,3,2,4,2,3,4,2,1,3,2,4,4,3,3,4,3,4,2,4,1,,1,3,3,4,3,2,4,2,2,1
R096,30,M,High school,1,3,5,3,5,1,4,3,3,4,4,2,1,1,2,3,4,2,3,3,1,2,3,2,4,2,1,2,4,3,1,3,2,4,2,3,1,4,3,5,0
R097,47,M,Bachelors,1,2,2,3,3,3,1,2,2,1,5,2,4,2,3,1,4,3,3,2,5,3,2,2,3,3,2,2,3,2,5,3,8,3,5,4,3,3,3,4,0
R098,29,F,Some college,2,2,1,2,5,1,1,1,3,2,4,1,3,2,1,1,5,2,1,1,1,2,5,1,3,2,1,1,5,1,1,1,2,5,1,1,2,4,1,3,0
R099,63,F,Graduate,2,3,4,2,3,3,2,2,2,2,4,4,4,4,4,2,2,4,3,4,4,2,4,3,2,2,2,5,4,3,1,3,3,1,2,1,1,4,1,3,0
R100,62,F,Some college,3,2,1,1,5,3,1,3,2,2,2,3,2,1,2,1,5,1,2,2,1,1,4,3,2,1,3,3,4,2,3,1,1,5,5,2,1,4,1,5,0
R101,51,F,Graduate,5,2,2,4,1,3,3,3,2,3,2,5,3,4,3,4,1,4,3,3,2,2,2,5,3,4,2,5,2,5,3,5,3,2,2,5,3,2,3,2,0
R102,21,F,High school,2,4,1,3,4,3,3,1,7,2,3,1,3,3,3,5,3,3,2,4,3,1,4,4,4,2,1,4,3,2,1,4,3,4,3,3,3,2,4,4,1
R103,22,M,Bachelors,3,2,2,3,3,2,3,4,5,3,4,4,2,3,4,2,2,4,3,4,3,3,4,5,3,5,1,4,2,2,4,4,2,2,2,2,4,3,3,4,0
R104,49,F,High school,4,4,4,3,2,2,3,1,3,4,2,2,4,5,3,3,4,4,4,2,2,4,3,3,5,4,1,2,3,3,2,1,5,3,4,3,1,2,3,4,0
R105,77,F,Bachelors,2,3,2,2,5,3,2,3,3,4,5,3,3,2,1,5,5,2,2,4,5,2,4,1,4,4,4,2,3,3,3,4,3,3,1,2,1,3,2,3,0
R106,81,M,High school,2,1,2,1,9,1,2,2,2,1,5,1,2,4,3,1,4,4,2,2,3,1,4,2,5,1,2,1,5,2,1,1,4,5,1,1,1,5,1,3,0
R107,78,M,Some college,4,3,3,3,3,4,4,3,3,5,3,3,3,3,4,2,2,2,,3,2,4,5,2,2,4,3,4,2,5,3,3,2,3,5,3,4,4,4,1,0
R108,66,M,High school,4,4,3,3,2,4,3,3,3,1,4,4,5,5,3,4,1,5,3,4,3,5,2,4,5,5,5,4,3,2,2,4,4,1,2,4,2,2,2,3,1
R109,50,F,Graduate,4,3,1,3,3,2,2,4,3,4,3,2,2,4,3,1,4,5,,3,3,2,5,2,2,4,4,3,4,2,5,4,4,5,2,4,3,2,2,4,0
R110,46,F,Bachelors,4,3,5,3,3,4,2,3,5,4,2,5,4,4,3,3,2,4,3,4,3,4,1,3,2,2,3,3,2,4,2,5,4,1,4,3,5,1,5,1,1
R111,56,F,Bachelors,2,2,3,5,1,5,5,3,5,4,1,4,4,2,5,4,2,4,4,5,3,5,4,5,3,4,4,5,1,3,4,4,4,2,5,3,5,3,4,3,0
R112,55,M,High school,3,3,3,3,2,2,2,2,3,3,3,4,3,3,4,5,1,4,5,4,2,3,3,4,4,3,2,4,1,3,3,1,2,4,1,4,4,3,4,2,0
R113,54,F,Bachelors,3,3,4,5,5,2,3,3,2,3,4,1,4,4,3,3,5,3,2,3,2,2,4,1,3,1,3,2,5,2,2,3,1,4,2,2,2,5,2,2,0
R114,30,F,Some college,4,4,4,2,4,3,3,3,3,4,4,2,2,4,3,4,4,3,2,3,3,3,3,3,5,4,2,4,3,4,2,4,5,3,3,2,2,2,3,3,1
R115,79,F,Some college,5,4,2,5,4,2,4,4,4,1,2,3,5,2,5,2,3,5,4,2,2,4,4,2,4,3,3,3,2,4,4,5,5,4,3,5,4,4,4,5,1
R116,33,F,Some college,5,5,4,5,1,5,3,3,5,4,3,4,2,3,2,3,1,3,4,5,3,5,1,4,5,5,2,5,3,3,3,4,1,2,5,4,5,3,5,3,1
R117,48,F,Some college,3,3,3,3,2,2,3,4,2,3,3,3,4,2,4,2,3,3,2,5,4,3,3,3,1,2,1,5,5,3,3,4,2,3,2,2,4,5,2,4,1
R118,36,M,Bachelors,3,2,2,1,9,4,4,3,2,4,5,2,3,9,3,4,4,4,4,3,1,2,4,3,5,3,3,3,3,4,4,5,1,3,4,4,2,3,4,2,0
R119,62,M,Some college,1,4,3,1,4,1,2,1,1,2,5,2,2,3,5,3,4,2,1,2,3,1,5,2,3,3,1,2,3,1,2,2,8,4,1,3,3,5,1,3,0
R120,47,M,Bachelors,3,3,5,3,3,5,3,4,5,2,1,4,5,9,5,5,2,3,4,4,5,5,4,4,3,3,4,5,3,2,3,5,8,1,5,3,5,2,3,1,1
R121,45,F,Some college,5,3,3,3,2,4,3,5,2,4,2,4,2,5,2,5,3,3,4,4,4,4,2,5,5,3,3,4,3,3,4,2,4,2,3,2,3,1,4,4,0
R122,25,M,High school,3,4,4,1,3,4,3,2,4,4,3,4,4,4,4,3,1,3,3,2,4,4,2,4,3,4,3,3,3,4,3,3,3,1,4,4,5,2,3,3,0
R123,40,F,Bachelors,4,4,5,1,3,3,1,2,2,3,3,4,3,5,2,2,3,1,5,3,2,3,2,3,4,1,2,2,3,1,3,4,8,4,5,2,4,5,1,4,0
R124,46,M,Bachelors,3,3,5,4,3,5,5,4,5,3,3,3,2,5,3,4,2,3,4,5,5,3,4,5,4,4,4,4,3,4,3,5,2,3,5,4,3,3,3,2,1
R125,39,F,Bachelors,2,3,3,2,2,2,4,4,3,1,3,2,4,3,1,3,4,2,3,1,4,3,3,4,3,3,4,3,2,3,3,5,3,4,2,2,3,3,3,4,1
R126,23,F,High school,3,3,1,3,4,3,1,3,3,3,3,3,1,1,3,3,3,4,1,1,1,8,4,3,2,1,5,2,4,3,3,2,3,3,4,2,3,3,3,4,0
R127,56,M,Bachelors,4,1,1,2,4,2,4,1,4,3,4,2,2,3,4,1,3,1,5,2,1,4,4,4,3,3,3,1,4,1,1,3,4,4,3,3,2,5,3,5,0
R128,19,F,Bachelors,1,4,1,4,2,2,2,2,4,5,4,2,2,1,4,1,4,2,4,3,3,3,4,3,3,2,1,3,3,2,4,3,1,4,5,3,1,2,3,4,0
R129,55,F,Bachelors,1,3,3,3,3,2,3,3,2,4,3,2,2,2,3,5,2,1,3,3,3,8,5,4,4,3,4,4,2,2,3,3,4,5,2,3,4,3,4,3,0
R130,74,M,Graduate,1,4,2,2,2,4,2,5,3,2,2,2,5,4,3,2,2,5,5,3,5,2,1,2,1,3,3,2,5,2,3,5,3,4,4,4,5,3,2,5,1
R131,20,F,Graduate,2,3,4,4,3,4,4,2,3,3,3,3,4,3,5,4,1,4,3,2,3,2,2,4,4,4,4,3,4,1,3,3,3,4,3,5,4,1,2,1,0
R132,69,M,Graduate,4,4,5,5,2,3,4,2,5,4,3,4,5,3,5,4,2,5,4,4,5,4,1,4,3,2,4,5,3,4,3,3,5,3,4,5,3,2,4,1,1
R133,47,M,Graduate,5,3,3,5,1,5,2,5,4,3,2,3,3,5,5,4,2,5,2,5,5,5,1,4,5,4,4,5,2,3,4,4,3,2,5,3,2,2,5,2,1
R134,38,M,Some college,2,2,4,4,3,4,3,3,4,4,3,2,4,2,5,4,2,3,3,4,3,1,2,1,3,3,2,4,3,1,2,3,4,4,2,3,4,4,1,4,0
R135,36,M,Graduate,4,4,1,3,2,3,1,1,3,3,4,5,3,1,1,5,4,2,4,2,3,2,3,1,3,4,1,2,5,2,,2,2,4,2,2,2,4,2,5,0
R136,41,M,High school,5,3,5,5,2,5,5,4,2,4,2,4,5,2,3,4,2,4,5,5,3,5,1,5,4,4,3,4,1,5,3,5,8,2,1,3,2,2,4,1,0
R137,28,M,Bachelors,4,4,4,3,2,4,5,4,3,2,2,3,2,4,5,5,4,4,5,3,2,2,2,3,3,4,4,2,1,4,3,4,3,1,4,3,4,4,3,3,1
R138,37,F,Graduate,2,5,4,2,4,2,3,4,5,2,3,1,4,2,5,2,1,2,4,2,4,4,3,2,3,5,2,4,2,4,2,4,4,3,5,5,2,3,3,4,1
R139,42,F,Graduate,2,5,5,2,3,2,3,3,3,4,3,5,3,1,4,2,3,3,5,3,2,2,3,3,3,5,1,4,2,4,5,3,3,2,2,3,5,2,3,2,1
R140,46,M,Bachelors,1,3,4,3,4,4,2,3,5,1,4,1,1,2,3,2,5,2,1,1,1,3,4,2,1,2,2,2,4,1,1,1,1,4,4,3,2,5,1,3,0
R141,65,M,High school,3,1,2,4,5,2,2,4,7,3,3,3,1,9,1,5,5,1,1,1,2,1,4,1,1,3,3,2,5,1,2,1,8,5,1,1,1,4,2,5,0
R142,71,M,High school,5,4,5,4,3,4,3,4,3,2,2,5,5,4,5,3,3,3,4,4,5,8,1,3,2,4,5,4,2,4,5,1,3,1,3,5,4,3,3,4,0
R143,74,F,Graduate,4,3,3,3,2,4,1,4,5,2,1,5,4,4,3,4,1,3,3,3,2,3,1,5,3,4,1,4,4,3,5,4,4,1,4,2,4,3,4,2,1
R144,57,M,Graduate,3,2,1,3,3,3,4,3,1,2,4,1,2,2,2,2,3,2,4,4,2,3,4,3,2,2,3,2,5,3,4,1,4,3,1,4,3,3,2,1,0
R145,80,F,Bachelors,4,3,1,2,5,1,3,4,2,2,2,3,2,3,4,3,4,4,2,1,2,2,3,2,2,2,2,2,4,3,4,1,3,5,3,3,1,3,1,5,1
