sample_id,probe_000,probe_001,probe_002,probe_003,probe_004,probe_005,probe_006,probe_007,probe_008,probe_009,probe_010,probe_011,probe_012,probe_013,probe_014,probe_015,probe_016,probe_017,probe_018,probe_019,probe_020,probe_021,probe_022,probe_023,probe_024,probe_025,probe_026,probe_027,probe_028,probe_029,probe_030,probe_031,probe_032,probe_033,probe_034,probe_035,probe_036,probe_037,probe_038,probe_039,probe_040,probe_041,probe_042,probe_043,probe_044,responder
S013,0.3,-1.368,-0.504,0.616,-0.512,-1.184,-1.188,-0.771,0.014,-0.649,0.018,2.792,1.773,-1.038,0.343,0.087,-0.138,1.043,-0.332,-0.325,-0.375,-0.1,1.286,0.776,-1.341,-0.442,-0.798,0.816,0.225,0.89,-0.062,-1.909,0.451,0.227,0.508,-1.303,0.081,-0.688,-0.687,0.354,0.353,-0.892,-1.712,-2.474,-0.575,1
S014,-0.055,-2.251,-0.863,0.422,1.673,1.168,0.367,0.197,-1.059,-0.452,-0.333,-0.774,0.063,-0.393,0.337,1.434,0.741,0.418,-0.241,-1.52,-0.114,0.544,-1.008,1.254,-0.334,0.372,-0.329,-1.256,2.068,-1.161,0.918,-0.556,0.279,-0.806,-0.416,0.92,1.946,-0.847,0.01,0.948,-0.631,0.711,-0.785,0.604,0.437,1
S015,0.364,-1.193,0.664,-1.101,0.751,1.511,0.596,-0.553,1.192,0.168,-1.245,-0.355,1.419,-0.304,0.122,-0.343,-1.686,-0.511,0.357,0.208,-0.174,-2.135,1.222,0.72,1.024,1.301,-0.445,-0.604,0.314,1.673,-1.686,-0.23,-0.715,0.559,1.464,-0.296,-1.241,0.049,-0.285,-1.543,0.885,-0.524,0.683,-1.316,1.096,0
S016,1.053,-1.811,1.38,-0.375,-1.556,-0.235,0.337,-0.991,-0.493,0.269,-0.169,-3.065,-0.43,0.427,0.298,1.009,-0.69,2.554,0.8,0.312,1.085,0.954,0.102,-0.621,1.024,0.423,-1.892,-1.104,0.467,0.109,0.28,0.642,0.146,1.583,-0.59,-0.399,0.323,0.746,0.788,1.488,-0.477,1.167,0.468,-1.043,-0.137,1
S017,0.785,-0.469,-2.399,-0.735,-0.703,0.077,2.31,0.746,0.313,-0.935,-1.186,-0.208,-0.468,3.007,-0.404,-0.616,1.129,0.077,-1.235,1.289,-0.312,-1.329,0.321,0.488,-0.338,0.697,0.821,-0.882,-2.057,-2.393,-0.128,1.23,1.003,1.392,1.856,0.016,1.056,-1.529,0.689,0.393,-0.094,-0.442,-1.116,0.14,1.278,0
S018,0.531,-0.664,0.254,-1.007,0.378,-0.218,0.315,-0.607,-1.176,-0.329,1.037,1.579,-0.325,0.799,0.759,0.393,-1.551,0.324,-0.97,1.176,0.788,0.617,-2.536,0.621,0.7,-1.278,0.97,0.075,-0.183,-0.713,-1.018,-0.434,3.086,0.203,0.208,-0.648,-0.618,-0.552,-0.886,0.875,-0.271,0.866,-1.155,0.929,-0.027,0
S019,-0.104,-0.888,1.21,-0.435,-0.147,-0.886,0.204,-0.39,0.282,0.345,-0.689,-1.41,0.433,0.918,0.696,-1.145,0.605,0.384,0.284,0.43,-0.324,0.215,0.927,-0.505,-1.44,-0.105,0.196,-1.845,-0.677,0.589,-0.15,0.092,-1.259,0.906,1.754,-0.2,-0.732,-1.158,0.891,0.104,-0.794,1.214,0.765,0.603,-1.76,0
S020,0.626,-1.224,0.929,1.431,1.034,-0.722,-0.708,0.942,0.994,1.229,1.201,-0.1,-0.41,-1.855,0.784,2.276,-0.463,-0.476,0.649,0.374,-1.37,-0.714,-1.098,2.022,-0.717,0.854,1.918,1.895,1.426,1.63,-1.235,-0.346,-0.728,-0.29,2.621,-1.679,0.558,-1.236,1.339,1.3,-0.512,2.07,0.075,1.303,0.311,1
S021,-0.38,-0.118,0.617,0.126,2.36,-0.193,-0.467,-0.719,-0.777,-1.44,-0.985,0.906,0.06,-0.171,0.35,1.068,0.616,0.773,-0.56,-0.261,-0.776,-0.097,-0.818,-0.372,-0.175,-0.216,-0.266,-0.492,1.31,-0.342,-1.011,0.194,-1.089,-1.073,0.084,-1.667,-3.219,0.288,1.035,-1.671,-0.897,0.577,-1.987,-0.874,-1.204,0
S022,-1.973,0.895,-0.144,0.303,-0.328,-2.121,-0.152,-1.341,0.01,-0.853,-0.317,-0.211,0.772,0.767,-1.005,-0.017,1.459,0.494,-0.729,-0.121,-0.348,0.941,0.033,0.375,2.212,-1.378,-1.014,-1.732,-1.593,0.857,0.292,1.631,-1.974,-0.881,1.444,1.029,0.885,0.872,0.032,-0.01,0.032,0.843,-0.163,0.321,1.453,0
S023,-0.75,0.565,-0.263,-0.157,2.098,0.416,-0.418,1.098,2.518,-1.109,-0.67,0.116,-0.636,2.171,0.526,-0.398,0.491,-0.796,-0.605,0.106,2.388,-2.25,0.42,1.351,0.74,1.922,0.45,0.146,-0.131,-0.856,1.635,-1.183,-0.124,-0.524,-0.785,-2.222,-0.382,0.137,0.143,0.845,-0.162,-0.641,0.308,0.665,-0.904,0
S024,-1.025,1.058,0.998,-0.886,0.111,0.839,1.329,-0.659,-0.24,1.409,2.411,1.53,-1.141,0.449,-0.299,-0.059,-0.663,-0.48,-0.01,1.803,0.7,0.427,0.027,-0.751,-0.229,1.239,0.83,1.964,0.261,-0.02,-1.618,0.398,-1.724,1.525,-0.63,0.0,-1.351,-0.496,-0.931,1.131,0.248,-1.18,-1.931,-0.068,-0.487,0
S025,0.59,-0.185,0.111,-0.59,-0.57,-0.46,-1.603,0.63,0.403,-1.723,0.102,1.154,0.237,1.296,-0.268,0.002,-1.3,-0.905,-1.823,-0.895,0.244,0.519,1.163,0.131,-0.99,0.431,-0.145,1.784,1.958,0.96,-1.136,-0.525,0.191,-0.712,0.524,0.686,0.838,0.228,-0.884,-0.842,-0.123,1.327,1.574,0.978,0.363,1
S026,0.822,1.292,0.856,-1.535,0.953,0.385,-0.46,0.525,0.288,-0.054,-1.689,0.111,0.557,-0.048,-1.588,0.458,0.72,0.181,0.426,-0.352,-0.658,0.524,-0.355,0.182,3.255,0.712,0.136,-1.622,0.096,0.758,-0.705,-0.238,-2.254,0.555,-0.595,0.684,1.364,-0.161,0.984,0.251,-0.204,-0.281,-0.851,1.284,0.88,0
S027,0.842,-0.73,-1.505,1.199,-1.28,1.185,0.199,0.902,0.512,1.155,0.348,0.578,0.249,1.095,-0.391,1.016,1.507,-0.063,0.44,-0.514,-0.288,0.261,-0.342,-0.886,-0.03,0.191,0.323,0.71,-1.774,1.413,-0.172,-0.772,-0.371,0.442,0.87,-0.366,0.158,-1.596,0.169,-0.112,-0.431,0.886,1.793,1.033,-0.782,1
S028,-0.334,-0.041,-0.58,0.456,0.553,0.145,-0.21,-0.143,-0.401,0.971,-0.52,-0.148,-0.209,-0.748,-0.227,-1.464,0.408,0.541,-0.299,1.551,-0.819,0.554,0.477,-0.534,-0.24,0.888,0.062,0.282,1.394,0.217,-1.665,-0.732,0.832,-0.128,-1.074,-1.968,0.322,1.494,-1.247,-2.157,0.495,-0.538,-0.292,-0.321,-0.897,1
S029,0.914,0.363,-0.553,1.034,-0.109,0.577,-0.929,0.653,0.739,1.281,0.028,0.441,-0.571,0.878,0.772,1.073,-0.382,-1.211,-0.066,-0.205,-0.739,0.6,0.939,0.392,1.102,0.394,-0.965,-0.578,-0.349,0.68,0.913,0.136,1.004,-0.812,-0.111,1.481,0.44,1.036,-1.863,-1.648,-0.852,0.996,1.607,-0.609,-0.97,1
S030,-0.878,0.55,-0.308,1.856,0.714,-0.673,0.235,-0.15,0.782,0.896,-0.34,0.882,0.564,-0.082,0.255,0.674,-0.311,-0.662,1.253,0.007,-0.581,0.457,-1.448,0.058,-1.336,-0.417,-1.75,-0.703,0.884,-0.175,-1.19,1.712,-0.615,1.462,-0.512,-1.434,1.817,-0.419,0.751,1.175,-1.286,0.076,-0.56,0.6,-0.008,1
S031,0.062,0.755,-0.284,0.558,-0.517,-0.045,0.348,0.146,1.251,0.936,0.832,0.713,0.159,-1.134,1.047,1.711,0.227,-0.242,-0.029,1.19,0.287,-0.956,-0.162,-0.744,-0.19,-0.869,-0.848,1.459,1.033,-1.568,-0.952,-0.43,-0.373,-1.346,0.876,-1.57,0.687,0.689,-0.352,-0.634,0.066,0.152,-2.044,-1.218,0.527,1
S032,-0.398,-0.963,-0.681,-0.739,2.739,-1.218,1.507,0.476,0.217,0.199,-0.364,1.58,0.506,-0.02,-0.112,0.203,-1.108,-0.304,-0.602,0.614,0.596,-1.815,-0.21,0.975,-1.258,-1.148,0.986,-0.118,-0.433,-1.18,0.175,-0.536,0.216,0.424,0.696,-0.309,-0.505,0.037,-0.088,0.176,-0.51,-0.224,-0.565,-0.567,0.161,0
S033,-0.516,0.579,0.346,0.115,0.672,-0.537,0.559,0.3,-3.406,0.356,0.594,1.92,-1.03,0.102,0.352,-0.94,1.183,0.448,-0.771,-1.165,-0.401,2.33,2.12,-2.417,-1.775,0.662,-0.097,-0.614,0.6,0.102,0.289,0.267,-1.058,1.297,-0.442,1.117,0.685,0.045,0.144,-0.038,-1.796,-0.311,0.428,-1.573,-1.454,1
S034,0.801,-1.509,0.459,-0.041,0.966,-0.311,-0.211,-0.73,0.184,-0.117,-0.636,-0.333,-0.734,0.619,-1.007,-1.522,-0.941,1.071,-0.492,0.642,0.729,-0.495,0.75,0.504,-0.036,-0.688,-0.054,-1.256,-0.265,-0.566,0.437,0.343,-0.626,0.857,1.18,0.07,-0.723,0.503,-2.4,-0.57,0.579,1.978,-0.722,1.512,2.3,1
S035,-2.321,1.09,0.194,1.006,-0.171,-0.602,-0.22,1.488,0.835,-0.285,0.382,0.859,0.565,-0.037,-0.646,-0.73,-0.427,-0.543,-1.557,-1.395,0.872,-1.105,-1.295,-0.039,1.437,1.253,-0.406,-1.021,-0.528,-0.899,-0.541,0.479,-1.052,-0.771,-0.255,-0.024,-0.758,-0.781,-1.119,-0.744,0.522,-0.239,-3.084,0.615,-0.065,0
S036,-0.251,-3.006,-1.642,1.16,2.125,2.17,-0.729,0.041,0.777,-1.221,1.738,-0.717,0.353,-1.144,0.366,-0.015,1.08,-1.149,-0.008,1.814,-1.189,0.353,0.439,-0.494,-0.266,1.412,1.139,0.567,0.269,-1.13,0.092,1.792,1.052,-1.356,-2.07,-0.662,0.166,-0.549,-0.306,0.343,0.897,0.211,1.252,-1.422,0.469,1
S037,-1.488,1.253,-1.597,-1.445,2.672,1.296,0.378,1.357,1.152,-1.129,0.485,1.404,-0.16,0.074,-0.464,0.736,-0.554,-0.588,-1.229,-0.93,0.221,0.475,-0.388,-1.052,0.342,0.36,1.279,-0.497,-0.413,0.516,1.533,-0.05,-0.082,-0.942,-0.379,0.952,0.857,1.123,-1.649,0.844,-0.929,0.598,-2.382,-0.097,-0.888,0
S038,0.123,1.31,-0.441,1.982,-0.446,1.912,-0.49,-0.987,0.906,-0.401,-0.057,-1.355,-0.345,0.116,-0.71,0.396,-2.317,0.902,-0.411,1.485,-0.352,-0.661,-0.452,0.281,0.603,-0.465,-0.803,0.437,0.835,-1.761,-1.058,-0.678,1.728,1.246,0.808,0.501,-1.129,1.137,-0.446,-0.802,1.959,-1.463,1.401,0.206,-0.93,1
S039,-0.85,0.191,-0.651,-1.199,2.691,-0.506,1.002,-0.047,0.687,-1.276,-1.053,-3.314,1.018,0.452,-1.189,0.849,0.603,2.966,0.242,0.93,0.624,0.784,-0.021,-0.417,0.722,1.254,-1.179,-1.149,-0.039,1.826,-0.207,-1.717,0.821,0.768,1.972,0.196,1.999,-0.726,0.919,0.141,-1.204,-0.276,1.351,1.135,-0.379,0
S040,0.918,0.914,0.295,0.313,-0.832,-0.064,0.129,-0.742,-0.286,0.172,0.221,1.074,-1.036,-0.396,0.278,-0.379,0.341,-0.469,1.199,-0.226,-1.145,0.763,1.689,-1.945,-0.126,0.076,1.05,1.52,-0.154,-1.572,0.682,1.025,0.476,0.086,-0.816,2.472,-1.208,-1.518,0.994,0.296,0.685,0.367,1.711,1.447,-0.55,1
S041,-1.184,-1.719,1.223,-0.428,-2.164,-0.013,-0.665,0.519,-0.052,-0.771,-0.715,0.782,-0.932,0.136,-0.992,0.463,1.809,0.582,1.134,0.463,-0.966,-0.297,0.078,0.45,-0.602,0.626,-0.72,0.073,-0.004,-1.156,1.02,0.057,0.117,-0.025,-2.12,-1.409,-0.897,1.009,-0.575,0.621,-1.032,-0.845,-0.467,1.076,-1.666,0
S042,0.417,0.144,-0.01,0.794,0.298,-1.01,0.647,-0.782,-0.336,1.471,2.473,1.472,0.437,-0.777,-0.76,1.687,0.342,-1.393,1.592,0.593,1.337,0.415,-2.168,-0.736,-0.137,-0.163,1.531,-0.67,-0.093,-0.051,-0.086,-1.038,-1.227,-2.593,0.342,-0.197,0.211,-1.057,0.01,-0.974,-1.014,0.346,0.648,0.593,-0.037,1
S043,1.415,1.261,-0.633,-1.09,0.38,0.328,-0.914,2.306,-2.101,-0.835,0.25,1.005,-1.862,-0.433,1.453,1.424,-0.249,0.044,-0.886,0.404,-1.05,-2.041,-1.528,0.061,-1.324,1.124,1.3,1.011,0.665,1.149,0.273,0.881,0.478,0.795,-1.017,-0.658,-0.999,0.842,0.516,-0.788,-0.989,-0.575,0.885,-0.108,-0.237,0
S044,-0.114,1.615,-0.687,-0.35,1.717,0.732,-1.141,1.104,-1.265,0.569,-2.539,-0.996,0.93,-0.593,-0.723,0.06,0.009,-0.465,-0.675,1.818,1.511,0.338,-1.152,-0.525,-0.286,0.497,1.621,-0.517,0.156,-0.426,0.149,-0.686,0.388,1.175,-0.391,-0.323,0.123,-1.316,1.831,-1.341,-0.354,-0.883,1.518,-0.482,-0.502,1
S045,-0.114,-0.776,0.001,0.203,-0.744,-0.177,-0.204,0.736,0.78,0.847,-0.116,0.811,-0.206,1.175,0.415,-0.421,1.248,-1.517,-0.968,-0.795,-0.125,-1.23,-1.203,-1.894,0.122,-0.766,2.214,0.786,-1.144,1.337,0.114,1.092,-1.11,1.175,1.113,-0.412,-0.848,-0.373,0.273,2.431,1.828,1.517,-0.213,-0.322,0.378,0
S046,-0.463,-0.202,0.858,-0.06,0.247,-0.256,-0.188,-0.324,1.278,0.241,1.511,-0.164,1.077,-1.383,-0.397,-0.053,-0.63,-0.108,-0.922,-0.156,-0.663,0.004,-0.29,-0.998,-0.403,0.036,-1.273,0.105,1.265,-0.22,0.559,0.633,-0.797,1.336,2.533,-1.023,2.166,-0.705,1.475,-1.814,1.151,0.147,-1.281,-0.82,-1.047,0
S047,0.388,-0.173,-2.514,-0.305,0.477,0.097,1.707,-1.84,0.252,0.038,0.734,-1.34,-1.307,-0.163,0.084,-1.814,0.375,0.002,0.746,-2.618,0.512,-0.886,-0.472,0.793,1.707,0.161,-0.102,1.323,-0.892,-0.148,-0.501,-0.981,0.202,2.057,0.257,0.509,-0.025,1.142,0.189,-0.88,0.108,1.454,-0.078,1.214,-0.063,1
S048,0.291,0.666,-0.284,0.848,-0.221,-1.481,0.312,-1.207,1.495,0.805,0.024,0.701,-2.601,1.552,-0.646,0.681,2.586,-1.618,-0.41,0.351,0.43,-1.692,-0.93,1.504,-0.598,0.565,-1.37,-0.91,-1.826,0.279,1.171,0.102,-0.268,0.251,0.478,-0.285,0.565,1.972,2.244,-0.569,-1.262,1.936,0.996,1.231,0.616,1
S049,0.991,1.134,1.191,-1.083,1.044,-0.345,-0.352,0.364,-0.341,2.34,0.576,0.278,-0.183,0.26,-0.223,0.595,0.877,0.853,-1.254,-0.325,0.094,-1.22,0.39,-0.134,0.068,0.394,-0.617,1.575,1.052,-0.543,0.478,0.757,-0.759,-0.348,0.712,-2.586,-1.316,0.34,0.635,-0.921,0.873,2.237,0.22,-0.031,0.081,0
S050,0.565,0.191,0.759,1.446,0.048,0.193,0.339,1.759,-1.455,0.008,-0.62,0.138,0.848,0.081,0.751,0.201,-0.705,-0.652,-1.378,0.237,-0.384,0.857,0.983,-0.879,-1.081,0.621,-0.871,0.222,0.624,-0.376,1.801,-0.768,0.439,-0.402,-2.883,-0.161,-0.147,0.594,-0.122,-0.722,-0.507,-0.294,0.773,-0.265,1.251,1
S051,-0.734,1.049,-2.262,0.039,-0.972,-0.087,1.171,0.012,-0.156,1.297,-0.753,-0.821,0.991,0.628,-1.423,0.163,0.797,-0.151,-0.394,0.148,0.226,-0.695,0.852,-1.572,-0.063,2.158,-1.054,-0.026,-2.272,-0.821,-1.145,0.073,-0.484,1.856,-0.916,-0.017,0.23,0.657,0.91,-1.558,2.212,-0.298,-0.708,-1.641,-0.435,0
S052,0.197,-0.591,0.336,-0.781,0.083,2.243,1.185,0.171,-0.979,1.477,-1.69,-1.408,1.31,-0.592,1.363,0.585,2.194,1.801,0.596,-0.624,0.603,1.416,0.148,-2.895,-0.371,-0.361,-0.051,-0.344,1.153,-1.264,0.448,-1.984,-2.174,-1.009,-0.747,-0.893,-0.698,0.62,0.586,0.085,0.204,-0.691,-0.984,-1.421,-0.412,0
S053,-0.322,0.731,0.554,1.334,-0.931,-2.199,-1.11,2.001,0.704,-0.437,1.327,-0.413,1.677,-0.402,-0.404,0.701,-1.145,-0.163,1.943,0.439,-1.104,-0.25,-0.026,-0.758,0.413,1.252,0.049,0.889,0.296,0.139,-0.752,0.965,1.356,-0.451,-0.878,0.524,0.104,1.129,0.493,-0.13,-1.388,0.622,0.099,-1.269,-1.491,0
S054,0.622,-0.437,-3.328,-0.881,-0.638,-0.112,0.035,-0.341,0.742,1.026,-0.225,1.579,-0.127,-0.868,0.154,-1.436,-0.302,-1.063,-0.433,0.195,-2.457,0.391,0.26,-0.219,0.715,0.342,-0.367,-1.008,0.731,0.758,-1.48,-0.733,-1.188,0.829,-0.578,-1.256,1.508,0.453,0.232,0.243,-0.182,0.03,0.893,0.44,-0.463,0
S055,1.873,-0.56,-1.327,0.112,-1.149,2.628,0.621,0.583,0.364,1.97,-1.026,-0.057,-1.68,1.24,-0.083,1.768,-0.284,-1.053,-0.713,0.8,-0.833,0.253,-0.733,-0.722,-0.57,1.624,-1.088,0.315,0.801,-0.756,-1.52,1.501,1.736,-0.26,-1.214,0.866,-0.048,-0.837,-0.398,-2.413,-0.83,-1.234,-1.336,0.577,0.258,1
S056,-2.712,-0.681,-0.859,1.323,1.032,0.109,0.08,-0.771,-0.534,-0.462,-2.555,1.897,0.727,2.086,1.23,0.485,0.825,-1.718,-1.036,0.843,-0.399,-1.646,-0.028,-1.315,-0.015,1.563,-1.162,-0.471,0.54,-0.044,0.17,-0.87,-0.359,-2.424,-0.198,1.279,-1.151,-0.207,0.698,1.215,1.157,-0.915,-0.441,1.757,-0.491,0
S057,-0.874,-0.685,-3.021,-0.573,-2.245,-1.047,-1.014,1.348,0.752,0.385,-0.546,-1.43,0.463,-0.862,-0.139,0.932,-0.215,-0.051,-1.032,1.038,0.514,0.694,1.622,-1.671,0.001,0.626,0.313,0.285,0.448,-1.577,-0.105,1.154,-0.08,-0.225,0.831,-1.799,0.375,1.513,-0.284,-0.861,0.507,-0.486,-0.856,0.142,-1.708,0
S058,-1.241,-0.583,0.709,-0.058,0.237,1.37,1.514,2.09,-0.584,0.905,-1.703,0.786,1.296,-0.763,0.444,0.825,-0.189,-0.672,1.502,-1.364,0.14,0.941,0.212,1.578,1.475,0.45,1.771,0.736,-1.274,-0.355,0.249,0.169,-1.745,2.306,-1.61,-1.171,0.428,0.178,1.532,0.202,0.356,0.714,-0.768,-1.337,-0.493,0
S059,-0.312,1.245,-0.583,0.743,0.006,0.831,-0.012,0.18,-0.496,1.244,-0.057,0.486,0.638,-0.927,-0.862,-0.064,1.271,-1.091,-1.053,-1.022,-0.417,-1.102,-0.85,0.516,-1.124,-0.029,-1.214,-0.223,0.507,-2.051,0.035,0.209,-0.08,0.241,0.4,-1.333,-0.144,0.635,1.29,-1.398,-0.621,-1.403,-0.038,-1.101,-1.014,1
